Eel,Treatment,Treatment_Round,Trial_Duration,Handling_Duration,PT_Duration,PT_Prop,Knotting_Duration,Knotting_Prop,Knotting_Prop_Handling,Knotting_Binomial,Rotating_Duration,Rotating_Prop,Rotating_Prop_Handling,Ramming_Duration,Ramming_Prop,Ramming_Prop_Handling,Shaking_Duration,Shaking_Prop,Shaking_Prop_Handling,Crinkle_Duration,Crinkle_Prop,Crinkle_Prop_Handling,Tug_Duration,Tug_Prop,Tug_Prop_Handling,Anchor_Duration,Anchor_Prop,Anchor_Prop_Handling,Bite
Eelvis ,Small,1,50.442,49.274,1.168,0.023155307,0,0,0,No,14.094,0.279410015,0.286033202,0,0,0,0,0,0,2.018,0.040006344,0.040954662,4.952,0.098172158,0.100499249,0,0,0,24
Snickers,Small,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA
Bill,Small,1,27.379,19.389,7.99,0.291829504,0,0,0,No,0.973,0.035538186,0.050183094,0,0,0,0.504,0.018408269,0.02599412,8.86,0.323605683,0.456960132,1.51,0.055151759,0.07787921,0,0,0,16
Hamlet,Small,1,38.152,24.837,13.315,0.348998742,0,0,0,No,6.138,0.160882785,0.247131296,0,0,0,0.403,0.010563011,0.016225792,8.503,0.222871671,0.342352136,0.436,0.011427972,0.017554455,0,0,0,26
Horatio,Small,1,30.359,17.903,12.456,0.410290194,0,0,0,No,0,0,0,0,0,0,0,0,0,24.441,0.805066043,0.9999999,0.891,0.029348793,0.049768195,16.219,0.534240258,0.905937552,19
Spaghettio,Small,1,45.869,42.858,3.011,0.065643463,0,0,0,No,13.499,0.294294622,0.314970367,0,0,0,0,0,0,26.079,0.568553925,0.60849783,0,0,0,12.11,0.264012732,0.282561015,22
Jhonny ,Small,1,31.214,26.8,4.414,0.141410905,0,0,0,No,6.846,0.219324662,0.255447761,0,0,0,0,0,0,15.858,0.508041264,0.591716418,1.745,0.055904402,0.06511194,20.238,0.648362914,0.755149254,16
Snickers,Small,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill,Small,2,77.577,46.452,31.125,0.401214277,0,0,0,No,26.991,0.347925287,0.581051408,0,0,0,0.719,0.009268211,0.015478343,5.154,0.066437217,0.110953242,1.455,0.018755559,0.031322656,0,0,0,33
Hamlet,Small,2,60.278,53.95,6.328,0.104980258,0,0,0,No,23.3,0.386542354,0.431881372,0,0,0,2.211,0.036680049,0.040982391,6.36,0.105511132,0.117886932,2.445,0.040562062,0.045319741,7.565,0.125501841,0.140222428,27
Horatio,Small,2,65.394,51.508,13.886,0.21234364,0,0,0,No,2.984,0.045631098,0.057932748,0,0,0,2.035,0.031119063,0.039508426,25.386,0.388200752,0.492855479,0.95,0.014527327,0.018443737,10.18,0.155671774,0.197639202,39
Spaghettio,Small,2,25.256,20.054,5.202,0.205970858,0,0,0,No,6.373,0.252336079,0.317791962,0,0,0,2.005,0.079387076,0.099980054,1.037,0.04105955,0.051710382,0.92,0.036426988,0.045876134,4.9,0.194013304,0.244340281,11
Jhonny ,Small,2,15.662,13.207,2.455,0.156748819,0,0,0,No,0,0,0,0,0,0,0.634,0.040480143,0.048004846,3.406,0.217469033,0.257893541,0.818,0.052228323,0.061936852,6.628,0.423189886,0.501855077,8
Snickers,Small,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bill,Small,3,14.17,7.396,6.774,0.478052223,0,0,0,No,0,0,0,0,0,0,0.956,0.067466478,0.129259059,0,0,0,1.877,0.13246295,0.25378583,0,0,0,8
Hamlet,Small,3,40.658,33.039,7.619,0.187392395,0,0,0,No,9.124,0.22440848,0.276158479,0,0,0,0.802,0.019725515,0.024274342,1.855,0.045624477,0.056145767,3.075,0.075630872,0.093071824,1.672,0.041123518,0.050606859,22
